stage, timestep, time, Elastic_strain_energy
0, 0, 0, 0
0, 1, 0.01, 0.359031
0, 2, 0.02, 1.43207
0, 3, 0.03, 3.21309
0, 4, 0.04, 5.69616
0, 5, 0.05, 8.87545
0, 6, 0.06, 12.7452
0, 7, 0.07, 17.2997
0, 8, 0.08, 22.5334
0, 9, 0.09, 28.4407
0, 10, 0.1, 35.0163
0, 11, 0.11, 42.2547
0, 12, 0.12, 50.1507
0, 13, 0.13, 58.6991
0, 14, 0.14, 67.8948
0, 15, 0.15, 77.7326
0, 16, 0.16, 88.2076
0, 17, 0.17, 99.3149
0, 18, 0.18, 111.05
0, 19, 0.19, 123.407
0, 20, 0.2, 136.382
0, 21, 0.21, 149.97
0, 22, 0.22, 164.167
0, 23, 0.23, 178.969
0, 24, 0.24, 194.369
0, 25, 0.25, 210.365
0, 26, 0.26, 226.952
0, 27, 0.27, 244.125
0, 28, 0.28, 261.881
0, 29, 0.29, 280.215
0, 30, 0.3, 299.123
0, 31, 0.31, 318.601
0, 32, 0.32, 338.644
0, 33, 0.33, 359.25
0, 34, 0.34, 380.414
0, 35, 0.35, 402.132
0, 36, 0.36, 424.4
0, 37, 0.37, 447.215
0, 38, 0.38, 470.572
0, 39, 0.39, 494.469
0, 40, 0.4, 518.901
0, 41, 0.41, 543.866
0, 42, 0.42, 569.358
0, 43, 0.43, 595.376
0, 44, 0.44, 621.915
0, 45, 0.45, 648.972
0, 46, 0.46, 676.544
0, 47, 0.47, 704.627
0, 48, 0.48, 733.219
0, 49, 0.49, 762.315
0, 50, 0.5, 791.913
1, 1, 0.52, 733.219
1, 2, 0.54, 676.544
1, 3, 0.56, 621.915
1, 4, 0.58, 569.358
1, 5, 0.6, 518.901
1, 6, 0.62, 470.572
1, 7, 0.64, 424.4
1, 8, 0.66, 380.414
1, 9, 0.68, 338.644
1, 10, 0.7, 299.123
1, 11, 0.72, 261.881
1, 12, 0.74, 226.952
1, 13, 0.76, 194.369
1, 14, 0.78, 164.167
1, 15, 0.8, 136.382
1, 16, 0.82, 111.05
1, 17, 0.84, 88.2076
1, 18, 0.86, 67.8948
1, 19, 0.88, 50.1507
1, 20, 0.9, 35.0163
1, 21, 0.92, 22.5334
1, 22, 0.94, 12.7452
1, 23, 0.96, 5.69616
1, 24, 0.98, 1.43207
1, 25, 1, 2.34812e-13
1, 26, 1.02, 1.44848
1, 27, 1.04, 5.8275
1, 28, 1.06, 13.1886
1, 29, 1.08, 23.5847
1, 30, 1.1, 37.0708
1, 31, 1.12, 53.7032
1, 32, 1.14, 73.5402
1, 33, 1.16, 96.6419
1, 34, 1.18, 123.07
1, 35, 1.2, 152.889
1, 36, 1.22, 186.166
1, 37, 1.24, 222.967
1, 38, 1.26, 263.364
1, 39, 1.28, 307.43
1, 40, 1.3, 355.241
1, 41, 1.32, 406.874
1, 42, 1.34, 462.41
1, 43, 1.36, 521.934
1, 44, 1.38, 585.53
1, 45, 1.4, 653.291
1, 46, 1.42, 725.307
1, 47, 1.44, 801.676
1, 48, 1.46, 882.497
1, 49, 1.48, 967.874
1, 50, 1.5, 1057.92
2, 1, 1.51, 967.874
2, 2, 1.52, 882.497
2, 3, 1.53, 801.676
2, 4, 1.54, 725.307
2, 5, 1.55, 653.291
2, 6, 1.56, 585.53
2, 7, 1.57, 521.934
2, 8, 1.58, 462.41
2, 9, 1.59, 406.874
