stage, timestep, time, DeformationGradient11, DeformationGradient12, DeformationGradient13, DeformationGradient21, DeformationGradient22, DeformationGradient23, DeformationGradient31, DeformationGradient32, DeformationGradient33
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1
0, 1, 0.01, 1.004, -2.51171e-16, -1.29652e-16, 9.81749e-16, 0.998684, -6.06179e-16, 3.09999e-16, 4.66009e-16, 0.998684
0, 2, 0.02, 1.008, -2.54516e-16, -1.32347e-16, 9.87507e-16, 0.997375, -6.10961e-16, 2.95176e-16, 4.5271e-16, 0.997375
0, 3, 0.03, 1.012, -2.77349e-16, -1.25903e-16, 1.00733e-15, 0.996074, -6.44565e-16, 2.80464e-16, 4.68832e-16, 0.996074
0, 4, 0.04, 1.016, -2.84156e-16, -1.15966e-16, 1.0036e-15, 0.99478, -6.43054e-16, 2.52041e-16, 4.55919e-16, 0.99478
0, 5, 0.05, 1.02, -2.89899e-16, -1.22054e-16, 1.02692e-15, 0.993493, -6.70449e-16, 2.36195e-16, 4.77613e-16, 0.993493
0, 6, 0.06, 1.024, -2.81425e-16, -1.25598e-16, 1.01477e-15, 0.992214, -6.69032e-16, 2.33937e-16, 4.52048e-16, 0.992214
0, 7, 0.07, 1.028, -2.96563e-16, -9.87369e-17, 1.08621e-15, 0.990941, -6.99112e-16, 1.4261e-16, 5.08963e-16, 0.990941
0, 8, 0.08, 1.032, -3.15035e-16, -9.56402e-17, 1.12073e-15, 0.989676, -6.90882e-16, 1.26343e-16, 4.80476e-16, 0.989676
0, 9, 0.09, 1.036, -3.38339e-16, -8.89181e-17, 1.13719e-15, 0.988418, -7.02034e-16, 1.19428e-16, 4.7318e-16, 0.988418
0, 10, 0.1, 1.04, -3.37682e-16, -9.39258e-17, 1.14082e-15, 0.987167, -7.40192e-16, 9.23876e-17, 4.92526e-16, 0.987167
0, 11, 0.11, 1.044, -3.36902e-16, -9.80661e-17, 1.14885e-15, 0.985923, -7.64112e-16, 7.15404e-17, 5.00159e-16, 0.985923
