stage, timestep, time, Stress11, Stress12, Stress13, Stress21, Stress22, Stress23, Stress31, Stress32, Stress33
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 0.01, 179.978, 1.24222e-11, 3.07257e-12, 1.24222e-11, -5.88419e-09, -2.36641e-12, 3.07257e-12, -2.36641e-12, -5.86306e-09
0, 2, 0.02, 359.862, 1.25245e-11, 2.79584e-12, 1.25245e-11, -5.86144e-09, -2.66575e-12, 2.79584e-12, -2.66575e-12, -5.83972e-09
0, 3, 0.03, 539.656, 1.25402e-11, 2.67323e-12, 1.25402e-11, -5.84054e-09, -2.95372e-12, 2.67323e-12, -2.95372e-12, -5.81823e-09
0, 4, 0.04, 719.365, 1.2425e-11, 2.3723e-12, 1.2425e-11, -5.81975e-09, -3.13846e-12, 2.3723e-12, -3.13846e-12, -5.79815e-09
0, 5, 0.05, 898.993, 1.27922e-11, 2.01555e-12, 1.27922e-11, -5.79679e-09, -3.227e-12, 2.01555e-12, -3.227e-12, -5.77451e-09
0, 6, 0.06, 1078.54, 1.27883e-11, 1.93419e-12, 1.27883e-11, -5.77816e-09, -3.62321e-12, 1.93419e-12, -3.62321e-12, -5.75679e-09
0, 7, 0.07, 1258.02, 1.38338e-11, 8.19864e-13, 1.38338e-11, -5.75328e-09, -3.16822e-12, 8.19864e-13, -3.16822e-12, -5.72997e-09
0, 8, 0.08, 1437.43, 1.41922e-11, 6.00298e-13, 1.41922e-11, -5.7362e-09, -3.49818e-12, 6.00298e-13, -3.49818e-12, -5.71223e-09
0, 9, 0.09, 1616.77, 1.41611e-11, 6.01543e-13, 1.41611e-11, -5.71372e-09, -3.79671e-12, 6.01543e-13, -3.79671e-12, -5.68907e-09
0, 10, 0.1, 1796.05, 1.43063e-11, 5.63903e-14, 1.43063e-11, -5.69677e-09, -4.09997e-12, 5.63903e-14, -4.09997e-12, -5.6719e-09
0, 11, 0.11, 1975.28, 1.45306e-11, -3.68565e-13, 1.45306e-11, -5.67468e-09, -4.36025e-12, -3.68565e-13, -4.36025e-12, -5.65003e-09
0, 12, 0.12, 2154.45, 1.43632e-11, -8.4994e-13, 1.43632e-11, -5.65307e-09, -4.51779e-12, -8.4994e-13, -4.51779e-12, -5.62829e-09
0, 13, 0.13, 2333.56, 1.47924e-11, -9.60332e-13, 1.47924e-11, -5.6352e-09, -5.00249e-12, -9.60332e-13, -5.00249e-12, -5.60952e-09
0, 14, 0.14, 2512.64, 1.50322e-11, -1.27144e-12, 1.50322e-11, -5.61579e-09, -5.42421e-12, -1.27144e-12, -5.42421e-12, -5.59076e-09
0, 15, 0.15, 2691.67, 1.50024e-11, -1.59491e-12, 1.50024e-11, -5.59249e-09, -5.51135e-12, -1.59491e-12, -5.51135e-12, -5.56675e-09
0, 16, 0.16, 2870.66, 1.50135e-11, -1.89799e-12, 1.50135e-11, -5.57374e-09, -5.81036e-12, -1.89799e-12, -5.81036e-12, -5.54787e-09
0, 17, 0.17, 3049.61, 1.53415e-11, -2.02427e-12, 1.53415e-11, -5.55422e-09, -6.346e-12, -2.02427e-12, -6.346e-12, -5.52816e-09
0, 18, 0.18, 3228.53, 1.55941e-11, -2.47716e-12, 1.55941e-11, -5.53561e-09, -7.00825e-12, -2.47716e-12, -7.00825e-12, -5.50927e-09
0, 19, 0.19, 3407.42, 1.57188e-11, -2.85076e-12, 1.57188e-11, -5.51434e-09, -6.98623e-12, -2.85076e-12, -6.98623e-12, -5.4895e-09
0, 20, 0.2, 3586.29, 1.59614e-11, -3.25737e-12, 1.59614e-11, -5.49585e-09, -7.55121e-12, -3.25737e-12, -7.55121e-12, -5.46924e-09
0, 21, 0.21, 3765.13, 1.62072e-11, -3.63216e-12, 1.62072e-11, -5.47621e-09, -8.02618e-12, -3.63216e-12, -8.02618e-12, -5.44932e-09
0, 22, 0.22, 3943.95, 1.63422e-11, -4.37157e-12, 1.63422e-11, -5.45433e-09, -8.22652e-12, -4.37157e-12, -8.22652e-12, -5.42701e-09
0, 23, 0.23, 4122.76, 1.62977e-11, -4.62869e-12, 1.62977e-11, -5.43798e-09, -8.55958e-12, -4.62869e-12, -8.55958e-12, -5.41093e-09
0, 24, 0.24, 4301.55, 1.64392e-11, -4.95228e-12, 1.64392e-11, -5.4188e-09, -9.0045e-12, -4.95228e-12, -9.0045e-12, -5.39167e-09
0, 25, 0.25, 4480.33, 1.65515e-11, -5.48572e-12, 1.65515e-11, -5.3997e-09, -9.53799e-12, -5.48572e-12, -9.53799e-12, -5.37313e-09
0, 26, 0.26, 4659.11, 1.70638e-11, -5.89545e-12, 1.70638e-11, -5.3807e-09, -9.60994e-12, -5.89545e-12, -9.60994e-12, -5.35374e-09
0, 27, 0.27, 4837.88, 1.68203e-11, -6.58592e-12, 1.68203e-11, -5.36325e-09, -1.0007e-11, -6.58592e-12, -1.0007e-11, -5.33604e-09
0, 28, 0.28, 5016.64, 1.68954e-11, -6.98918e-12, 1.68954e-11, -5.34486e-09, -1.08686e-11, -6.98918e-12, -1.08686e-11, -5.31779e-09
0, 29, 0.29, 5195.41, 1.72544e-11, -7.56888e-12, 1.72544e-11, -5.32676e-09, -1.11085e-11, -7.56888e-12, -1.11085e-11, -5.29864e-09
0, 30, 0.3, 5374.18, 1.71599e-11, -8.01491e-12, 1.71599e-11, -5.30742e-09, -1.18084e-11, -8.01491e-12, -1.18084e-11, -5.27949e-09
0, 31, 0.31, 5552.96, 1.73283e-11, -8.80038e-12, 1.73283e-11, -5.28895e-09, -1.1869e-11, -8.80038e-12, -1.1869e-11, -5.26136e-09
0, 32, 0.32, 5731.75, 1.51629e-11, -4.74496e-12, 1.51629e-11, -5.27506e-09, -1.31035e-11, -4.74496e-12, -1.31035e-11, -5.24913e-09
0, 33, 0.33, 5910.55, 1.38396e-11, -1.775e-12, 1.38396e-11, -5.26173e-09, -1.3782e-11, -1.775e-12, -1.3782e-11, -5.23475e-09
0, 34, 0.34, 6089.36, 1.3829e-11, -2.50843e-12, 1.3829e-11, -5.24443e-09, -1.42326e-11, -2.50843e-12, -1.42326e-11, -5.21772e-09
0, 35, 0.35, 6268.19, 1.34321e-11, -3.02606e-12, 1.34321e-11, -5.22483e-09, -1.45666e-11, -3.02606e-12, -1.45666e-11, -5.19896e-09
