stage, timestep, time, DeformationGradient11, DeformationGradient12, DeformationGradient13, DeformationGradient21, DeformationGradient22, DeformationGradient23, DeformationGradient31, DeformationGradient32, DeformationGradient33
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1
0, 1, 0.01, 1.004, 0, -6.77626e-20, 6.09864e-20, 0.998684, -5.0822e-21, 4.06576e-20, 9.31736e-20, 0.998684
0, 2, 0.02, 1.008, 0, -1.35525e-19, 0, 0.997375, 2.37169e-20, 2.87991e-19, -4.74338e-20, 0.997375
0, 3, 0.03, 1.012, -1.0842e-19, -3.52366e-19, 0, 0.996074, 1.35525e-20, 1.35525e-19, -6.77626e-20, 0.996074
0, 4, 0.04, 1.016, 0, -2.71051e-19, 0, 0.99478, 1.82959e-19, 1.35525e-19, 6.01853e-36, 0.99478
0, 5, 0.05, 1.02, 0, -1.35525e-19, -2.30393e-19, 0.993493, -1.49078e-19, 0, 2.71051e-19, 0.993493
0, 6, 0.06, 1.024, -2.1684e-19, -7.04731e-19, 2.1684e-19, 0.992214, -1.35525e-19, 6.09864e-19, 2.1684e-19, 0.992214
0, 7, 0.07, 1.028, 0, -1.0842e-19, 0, 0.990941, 1.35525e-19, 0, 4.87891e-19, 0.990941
0, 8, 0.08, 1.032, 0, -5.42101e-19, 0, 0.989676, 8.13152e-20, -4.06576e-20, 5.01444e-19, 0.989676
0, 9, 0.09, 1.036, -4.33681e-19, -8.67362e-19, 0, 0.988418, 4.87891e-19, 2.98156e-19, 1.6263e-19, 0.988418
0, 10, 0.1, 1.04, 0, -3.25261e-19, -1.35525e-18, 0.987167, 8.97177e-18, -4.33681e-19, -7.37257e-18, 0.987167
0, 11, 0.11, 1.044, 1.0842e-19, 1.0842e-19, 4.90601e-18, 0.985923, -8.64651e-18, 5.93601e-18, 8.42967e-18, 0.985923
0, 12, 0.12, 1.048, -4.33681e-19, -1.51788e-18, 4.06576e-19, 0.984686, 1.32815e-18, 1.21973e-18, 7.86047e-19, 0.984686
0, 13, 0.13, 1.052, -8.67362e-19, -7.58942e-19, 5.96311e-19, 0.983455, 2.81893e-18, 1.13841e-18, -1.89735e-18, 0.983455
0, 14, 0.14, 1.056, 8.67362e-19, -5.42101e-19, -3.52366e-19, 0.982232, 3.71339e-18, 1.81604e-18, -2.27682e-18, 0.982232
0, 15, 0.15, 1.06, 0, -2.1684e-19, -9.48677e-19, 0.981015, -7.31836e-19, -1.0842e-18, 1.27394e-18, 0.981015
0, 16, 0.16, 1.064, 0, -1.40946e-18, 1.9868e-17, 0.979805, -1.5233e-17, 3.74863e-17, 4.6946e-17, 0.979805
0, 17, 0.17, 1.068, 2.1684e-19, -1.0842e-18, -4.24194e-17, 0.978601, 1.36067e-17, -3.8435e-17, -1.30917e-17, 0.978601
0, 18, 0.18, 1.072, -8.67362e-19, -1.73472e-18, -5.69206e-18, 0.977404, 2.22261e-18, -4.98733e-18, 9.75782e-19, 0.977404
0, 19, 0.19, 1.076, 0, -1.19262e-18, -6.83047e-18, 0.976214, -1.35525e-18, -4.93312e-18, 2.43945e-18, 0.976214
0, 20, 0.2, 1.08, 0, -5.42101e-19, -8.40257e-18, 0.97503, -2.71051e-19, -7.10152e-18, 2.22261e-18, 0.97503
0, 21, 0.21, 1.084, -8.67362e-19, -1.0842e-18, -1.4962e-17, 0.973852, -6.61363e-18, -1.45283e-17, 7.42678e-18, 0.973852
0, 22, 0.22, 1.088, -8.67362e-19, -4.33681e-19, -7.15573e-18, 0.972681, 2.38524e-18, -5.9089e-18, 0, 0.972681
0, 23, 0.23, 1.092, -6.50521e-19, -1.73472e-18, -2.43945e-18, 0.971516, 1.6263e-19, -4.98733e-18, 2.11419e-18, 0.971516
0, 24, 0.24, 1.096, -8.67362e-19, -3.03577e-18, -4.00613e-17, 0.970358, 7.04731e-18, -2.78098e-17, -4.44523e-18, 0.970358
0, 25, 0.25, 1.1, -8.67362e-19, -1.95156e-18, -9.48677e-18, 0.969206, -7.04731e-19, -5.63785e-18, 3.79471e-18, 0.969206
0, 26, 0.26, 1.104, 0, -1.95156e-18, -9.97466e-18, 0.968059, 4.17418e-18, -6.50521e-18, -2.33103e-18, 0.968059
0, 27, 0.27, 1.108, 0, -3.25261e-18, 5.96311e-19, 0.96692, -9.97466e-18, 5.42101e-18, -1.01915e-17, 0.96692
0, 28, 0.28, 1.112, -1.73472e-18, -2.1684e-18, -7.53521e-18, 0.965786, 2.11962e-17, -1.40946e-18, -5.80048e-18, 0.965786
0, 29, 0.29, 1.116, 0, -4.33681e-19, 2.32561e-17, 0.964658, 8.18573e-18, 2.8894e-17, -1.30104e-18, 0.964658
0, 30, 0.3, 1.12, 0, -3.25261e-18, 1.54499e-17, 0.963536, -4.60786e-17, 1.08962e-17, -2.32019e-17, 0.963536
0, 31, 0.31, 1.124, 0, -1.0842e-18, -7.91468e-18, 0.96242, -4.16334e-17, -4.87891e-18, 1.12215e-17, 0.96242
0, 32, 0.32, 1.128, 0, -2.1684e-18, -4.01155e-18, 0.961311, -3.52366e-18, -1.78893e-18, 3.08998e-18, 0.961311
0, 33, 0.33, 1.132, 0, -1.73472e-18, -4.8247e-18, 0.960207, -5.33427e-17, -1.73472e-18, -2.1684e-19, 0.960207
0, 34, 0.34, 1.136, 0, -1.0842e-18, -6.12574e-18, 0.959108, 7.04731e-19, -8.89046e-18, -3.57787e-18, 0.959108
0, 35, 0.35, 1.14, 4.33681e-19, -4.33681e-19, 2.94361e-17, 0.958016, 2.17383e-17, 1.53415e-17, -8.67362e-19, 0.958016
0, 36, 0.36, 1.144, -1.73472e-18, -3.46945e-18, -3.68629e-18, 0.956929, -9.92045e-18, 1.46367e-18, 4.01155e-18, 0.956929
0, 37, 0.37, 1.148, 0, -1.0842e-18, -2.17925e-17, 0.955848, -1.09504e-17, -2.4503e-17, 5.09575e-18, 0.955848
0, 38, 0.38, 1.152, 0, -2.38524e-18, -1.19262e-17, 0.954773, -9.97466e-18, -4.01155e-18, 4.44523e-18, 0.954773
0, 39, 0.39, 1.156, -1.73472e-18, -3.46945e-18, -6.93889e-18, 0.953703, -1.65883e-17, -8.34836e-18, 1.10589e-17, 0.953703
0, 40, 0.4, 1.16, 0, -1.30104e-18, -8.67362e-18, 0.952639, -4.22839e-18, -5.52943e-18, 5.31259e-18, 0.952639
0, 41, 0.41, 1.164, 0, -2.38524e-18, -1.69136e-17, 0.951581, -2.39609e-17, -8.13152e-18, 1.05168e-17, 0.951581
0, 42, 0.42, 1.168, -1.73472e-18, -1.95156e-18, 1.95156e-17, 0.950528, 2.66714e-17, -9.75782e-19, -3.01408e-17, 0.950528
0, 43, 0.43, 1.172, -1.73472e-18, -3.03577e-18, -1.26852e-17, 0.94948, -1.23599e-17, -6.72205e-18, 2.49366e-18, 0.94948
0, 44, 0.44, 1.176, 4.33681e-19, 4.33681e-19, -7.91468e-18, 0.948438, -1.0842e-19, 2.27682e-18, -8.34836e-18, 0.948438
0, 45, 0.45, 1.18, -1.73472e-18, -1.30104e-18, -6.72205e-18, 0.947401, -8.45678e-18, -3.46945e-18, 1.39862e-17, 0.947401
0, 46, 0.46, 1.184, -1.73472e-18, -3.03577e-18, -1.14925e-17, 0.946369, -2.4503e-17, -8.13152e-18, 1.48536e-17, 0.946369
0, 47, 0.47, 1.188, 0, -4.33681e-19, -2.49366e-18, 0.945343, -2.61293e-17, -2.81893e-18, -1.4203e-17, 0.945343
0, 48, 0.48, 1.192, -1.73472e-18, -6.07153e-18, 2.95987e-17, 0.944322, -3.79471e-18, 3.68629e-18, 7.26415e-18, 0.944322
0, 49, 0.49, 1.196, -1.73472e-18, -6.07153e-18, -1.66967e-17, 0.943306, 9.6494e-18, -2.38524e-17, 2.5804e-17, 0.943306
0, 50, 0.5, 1.2, 0, -1.30104e-18, 3.10082e-17, 0.942296, 1.97325e-17, 5.01986e-17, 8.23994e-18, 0.942296
1, 1, 0.52, 1.192, -1.73472e-18, -5.63785e-18, 2.77556e-17, 0.944322, 1.17094e-17, 1.26852e-17, -8.13152e-18, 0.944322
1, 2, 0.54, 1.184, -1.30104e-18, -3.46945e-18, 3.61039e-17, 0.946369, 3.31766e-17, 2.49366e-17, -2.98156e-17, 0.946369
1, 3, 0.56, 1.176, -1.73472e-18, -8.67362e-19, 3.98986e-17, 0.948438, 6.81963e-17, 3.62124e-17, -1.06577e-16, 0.948438
1, 4, 0.58, 1.168, 0, 2.1684e-19, -9.97466e-18, 0.950528, 6.83047e-18, -1.73472e-17, -3.04661e-17, 0.950528
1, 5, 0.6, 1.16, -1.30104e-18, -3.25261e-18, -5.96311e-18, 0.952639, -7.58942e-19, 8.13152e-18, 2.1684e-19, 0.952639
1, 6, 0.62, 1.152, -1.73472e-18, -3.03577e-18, -6.07153e-18, 0.954773, -4.98733e-18, 2.48282e-17, -1.53957e-17, 0.954773
1, 7, 0.64, 1.144, 0, -1.0842e-18, -3.7405e-18, 0.956929, -3.30682e-18, 1.58294e-17, -2.33103e-18, 0.956929
1, 8, 0.66, 1.136, 0, 8.67362e-19, -3.68629e-18, 0.959108, -1.0571e-17, 7.15573e-18, -1.13841e-18, 0.959108
1, 9, 0.68, 1.128, 0, -1.0842e-18, -1.32815e-17, 0.961311, -1.38778e-17, -1.32273e-17, 2.86771e-17, 0.961311
1, 10, 0.7, 1.12, 0, -1.30104e-18, 2.33103e-18, 0.963536, -9.48677e-18, 1.05168e-17, 1.6263e-19, 0.963536
1, 11, 0.72, 1.112, 1.73472e-18, -1.95156e-18, 4.06576e-18, 0.965786, -1.97325e-17, 1.36067e-17, 1.45825e-17, 0.965786
1, 12, 0.74, 1.104, 0, -2.1684e-18, -1.0842e-19, 0.968059, -1.4203e-17, 2.00577e-18, 1.00289e-17, 0.968059
1, 13, 0.76, 1.096, -8.67362e-19, -1.0842e-18, 4.07118e-17, 0.970358, -7.37257e-18, 7.26415e-17, 6.23416e-18, 0.970358
1, 14, 0.78, 1.088, 0, -1.30104e-18, 3.41524e-18, 0.972681, -5.25838e-18, -5.09575e-18, -2.59124e-17, 0.972681
