stage, timestep, time, Stress11, Stress12, Stress13, Stress21, Stress22, Stress23, Stress31, Stress32, Stress33
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 0.01, 351.179, 2.01968e-15, -8.85752e-16, 2.01968e-15, -1.14336e-08, 2.90186e-15, -8.85752e-16, 2.90186e-15, -1.14336e-08
0, 2, 0.02, 685.752, -9.39469e-17, 5.1545e-15, -9.39469e-17, -1.13804e-08, -9.13814e-16, 5.1545e-15, -9.13814e-16, -1.13804e-08
0, 3, 0.03, 1005.18, -3.63589e-15, -7.22965e-15, -3.63589e-15, -1.13492e-08, -1.863e-15, -7.22965e-15, -1.863e-15, -1.13492e-08
0, 4, 0.04, 1310.8, 8.28232e-17, -4.19188e-15, 8.28232e-17, -1.13009e-08, 5.99267e-15, -4.19188e-15, 5.99267e-15, -1.13009e-08
0, 5, 0.05, 1603.84, -7.64855e-15, -4.1086e-15, -7.64855e-15, -1.12585e-08, 3.71064e-15, -4.1086e-15, 3.71064e-15, -1.12585e-08
0, 6, 0.06, 1885.4, 7.00154e-16, -1.83943e-15, 7.00154e-16, -1.12109e-08, 2.21951e-15, -1.83943e-15, 2.21951e-15, -1.12109e-08
0, 7, 0.07, 2156.5, 3.56509e-16, -3.0255e-15, 3.56509e-16, -1.11686e-08, 1.97573e-14, -3.0255e-15, 1.97573e-14, -1.11686e-08
0, 8, 0.08, 2418.07, 3.23424e-16, -1.8182e-14, 3.23424e-16, -1.11204e-08, 1.75065e-14, -1.8182e-14, 1.75065e-14, -1.11204e-08
0, 9, 0.09, 2670.96, -1.35428e-14, -1.62198e-14, -1.35428e-14, -1.10727e-08, 1.89208e-14, -1.62198e-14, 1.89208e-14, -1.10754e-08
0, 10, 0.1, 2915.94, -4.52619e-14, -2.31558e-14, -4.52619e-14, -1.10434e-08, 4.87532e-14, -2.31558e-14, 4.87532e-14, -1.10433e-08
0, 11, 0.11, 3153.72, 1.73793e-13, 2.08895e-13, 1.73793e-13, -1.09995e-08, -1.20002e-14, 2.08895e-13, -1.20002e-14, -1.09994e-08
0, 12, 0.12, 3384.94, -4.97243e-15, -1.28447e-14, -4.97243e-15, -1.09474e-08, 6.38015e-14, -1.28447e-14, 6.38015e-14, -1.09473e-08
0, 13, 0.13, 3610.19, -1.14576e-14, 9.13501e-15, -1.14576e-14, -1.09268e-08, 2.26416e-14, 9.13501e-15, 2.26416e-14, -1.09267e-08
0, 14, 0.14, 3830, 1.05161e-14, 3.91937e-14, 1.05161e-14, -1.08872e-08, 3.83802e-14, 3.91937e-14, 3.83802e-14, -1.08798e-08
0, 15, 0.15, 4044.87, -3.71566e-14, -5.22635e-14, -3.71566e-14, -1.085e-08, 8.30979e-15, -5.22635e-14, 8.30979e-15, -1.08503e-08
0, 16, 0.16, 4255.25, 6.85646e-13, 1.24976e-12, 6.85646e-13, -1.08024e-08, 1.00249e-12, 1.24976e-12, 1.00249e-12, -1.07998e-08
0, 17, 0.17, 4461.53, -1.50105e-12, -1.43151e-12, -1.50105e-12, -1.07493e-08, -3.84857e-14, -1.43151e-12, -3.84857e-14, -1.07497e-08
0, 18, 0.18, 4664.11, -1.873e-13, -2.20375e-13, -1.873e-13, -1.07021e-08, 5.12914e-14, -2.20375e-13, 5.12914e-14, -1.07024e-08
0, 19, 0.19, 4863.3, -1.94605e-13, -1.92723e-13, -1.94605e-13, -1.06872e-08, -1.57325e-14, -1.92723e-13, -1.57325e-14, -1.06875e-08
0, 20, 0.2, 5059.43, -2.43355e-13, -2.4154e-13, -2.43355e-13, -1.06279e-08, 1.49172e-14, -2.4154e-13, 1.49172e-14, -1.06281e-08
0, 21, 0.21, 5252.78, -4.91404e-13, -5.09107e-13, -4.91404e-13, -1.05664e-08, -1.94427e-14, -5.09107e-13, -1.94427e-14, -1.05666e-08
0, 22, 0.22, 5443.61, -1.97801e-13, -1.65617e-13, -1.97801e-13, -1.05448e-08, 3.32272e-14, -1.65617e-13, 3.32272e-14, -1.0545e-08
0, 23, 0.23, 5632.15, -2.00668e-14, -1.66546e-13, -2.00668e-14, -1.05297e-08, 3.02668e-14, -1.66546e-13, 3.02668e-14, -1.05299e-08
0, 24, 0.24, 5818.62, -1.36268e-12, -1.00858e-12, -1.36268e-12, -1.04747e-08, 4.10319e-14, -1.00858e-12, 4.10319e-14, -1.04711e-08
0, 25, 0.25, 6003.21, -2.20761e-13, -1.48522e-13, -2.20761e-13, -1.04393e-08, 5.63132e-14, -1.48522e-13, 5.63132e-14, -1.04325e-08
0, 26, 0.26, 6186.11, -2.10608e-13, -1.78193e-13, -2.10608e-13, -1.03814e-08, 1.66179e-14, -1.78193e-13, 1.66179e-14, -1.0382e-08
0, 27, 0.27, 6367.47, 1.69175e-13, 2.13424e-13, 1.69175e-13, -1.03501e-08, -6.68442e-13, 2.13424e-13, -6.68442e-13, -1.03506e-08
0, 28, 0.28, 6547.45, -1.85772e-13, -1.553e-14, -1.85772e-13, -1.0316e-08, 4.72395e-13, -1.553e-14, 4.72395e-13, -1.03237e-08
0, 29, 0.29, 6726.18, 9.70656e-13, 1.11775e-12, 9.70656e-13, -1.02792e-08, 1.85597e-13, 1.11775e-12, 1.85597e-13, -1.02793e-08
0, 30, 0.3, 6903.79, 6.403e-13, 3.37569e-13, 6.403e-13, -1.02389e-08, -2.18263e-12, 3.37569e-13, -2.18263e-12, -1.0239e-08
0, 31, 0.31, 7080.39, -2.35894e-13, -1.89023e-13, -2.35894e-13, -1.02016e-08, -8.73242e-13, -1.89023e-13, -8.73242e-13, -1.02053e-08
0, 32, 0.32, 7256.08, -8.6643e-14, -9.93718e-14, -8.6643e-14, -1.01479e-08, 9.10532e-14, -9.93718e-14, 9.10532e-14, -1.01478e-08
0, 33, 0.33, 7430.96, -1.15272e-13, -8.25313e-14, -1.15272e-13, -1.01402e-08, -1.55526e-12, -8.25313e-14, -1.55526e-12, -1.01419e-08
0, 34, 0.34, 7605.12, -1.60559e-13, -3.23389e-13, -1.60559e-13, -1.00831e-08, 7.37101e-14, -3.23389e-13, 7.37101e-14, -1.00847e-08
0, 35, 0.35, 7778.62, 1.15368e-12, 5.91615e-13, 1.15368e-12, -1.00231e-08, 7.90895e-13, 5.91615e-13, 7.90895e-13, -1.00219e-08
0, 36, 0.36, 7951.55, -1.70625e-13, -2.53004e-14, -1.70625e-13, -1.0005e-08, -7.48597e-14, -2.53004e-14, -7.48597e-14, -9.99779e-09
0, 37, 0.37, 8123.98, -7.82743e-13, -9.1545e-13, -7.82743e-13, -9.98191e-09, -7.47886e-14, -9.1545e-13, -7.47886e-14, -9.98211e-09
0, 38, 0.38, 8295.95, -3.86085e-13, -1.55745e-13, -3.86085e-13, -9.95017e-09, -6.63596e-14, -1.55745e-13, -6.63596e-14, -9.95035e-09
