stage, timestep, time, Elastic_strain_energy
0, 0, 0, 0
0, 1, 0.1, 0.000144013
0, 2, 0.2, 0.00057602
0, 3, 0.3, 0.00129597
0, 4, 0.4, 0.00230382
0, 5, 0.5, 0.00359951
0, 6, 0.6, 0.00518298
0, 7, 0.7, 0.00705414
0, 8, 0.8, 0.00921266
0, 9, 0.9, 0.0116575
0, 10, 1, 0.0143852
0, 11, 1.1, 0.0173866
0, 12, 1.2, 0.0206383
0, 13, 1.3, 0.024088
0, 14, 1.4, 0.0276294
0, 15, 1.5, 0.0310738
0, 16, 1.6, 0.0341462
0, 17, 1.7, 0.0365567
0, 18, 1.8, 0.0381578
0, 19, 1.9, 0.0390477
0, 20, 2, 0.0394739
0, 21, 2.1, 0.0396592
0, 22, 2.2, 0.0397356
0, 23, 2.3, 0.0397662
0, 24, 2.4, 0.0397781
0, 25, 2.5, 0.0397825
0, 26, 2.6, 0.0397839
0, 27, 2.7, 0.039784
0, 28, 2.8, 0.0397837
0, 29, 2.9, 0.0397832
0, 30, 3, 0.0397826
0, 31, 3.1, 0.039782
0, 32, 3.2, 0.0397814
0, 33, 3.3, 0.0397807
0, 34, 3.4, 0.0397801
0, 35, 3.5, 0.0397795
0, 36, 3.6, 0.0397788
0, 37, 3.7, 0.0397782
0, 38, 3.8, 0.0397776
0, 39, 3.9, 0.0397769
0, 40, 4, 0.0397763
0, 41, 4.1, 0.0397757
0, 42, 4.2, 0.039775
0, 43, 4.3, 0.0397744
0, 44, 4.4, 0.0397738
0, 45, 4.5, 0.0397731
0, 46, 4.6, 0.0397725
0, 47, 4.7, 0.0397719
0, 48, 4.8, 0.0397712
0, 49, 4.9, 0.0397706
0, 50, 5, 0.03977
1, 1, 5.2, 0.0229803
1, 2, 5.4, 0.0159101
1, 3, 5.6, 0.0103978
1, 4, 5.8, 0.00608661
1, 5, 6, 0.00292555
1, 6, 6.2, 0.000909581
1, 7, 6.4, 3.87815e-05
1, 8, 6.6, 0.000313538
1, 9, 6.8, 0.00173424
1, 10, 7, 0.00430128
1, 11, 7.2, 0.00801499
1, 12, 7.4, 0.0128741
1, 13, 7.6, 0.0188589
1, 14, 7.8, 0.0258274
1, 15, 8, 0.0330952
1, 16, 8.2, 0.0385764
1, 17, 8.4, 0.04
1, 18, 8.6, 0.0398203
1, 19, 8.8, 0.0398592
1, 20, 9, 0.039853
1, 21, 9.2, 0.0398557
1, 22, 9.4, 0.0398567
1, 23, 9.6, 0.039858
1, 24, 9.8, 0.0398593
1, 25, 10, 0.0398606
1, 26, 10.2, 0.0398619
1, 27, 10.4, 0.0398631
1, 28, 10.6, 0.0398644
1, 29, 10.8, 0.0398657
1, 30, 11, 0.039867
1, 31, 11.2, 0.0398683
1, 32, 11.4, 0.0398695
1, 33, 11.6, 0.0398708
1, 34, 11.8, 0.0398721
1, 35, 12, 0.0398734
1, 36, 12.2, 0.0398746
1, 37, 12.4, 0.0398759
1, 38, 12.6, 0.0398772
1, 39, 12.8, 0.0398785
1, 40, 13, 0.0398798
1, 41, 13.2, 0.039881
1, 42, 13.4, 0.0398823
1, 43, 13.6, 0.0398836
1, 44, 13.8, 0.0398849
1, 45, 14, 0.0398862
1, 46, 14.2, 0.0398874
1, 47, 14.4, 0.0398887
1, 48, 14.6, 0.03989
1, 49, 14.8, 0.0398913
1, 50, 15, 0.0398926
2, 1, 15.08, 0.0275588
2, 2, 15.16, 0.0197139
2, 3, 15.24, 0.0134651
2, 4, 15.32, 0.00844878
2, 5, 15.4, 0.00460173
2, 6, 15.48, 0.00191507
2, 7, 15.56, 0.000387696
2, 8, 15.64, 1.91741e-05
2, 9, 15.72, 0.000809111
2, 10, 15.8, 0.00275711
2, 11, 15.88, 0.00586277
2, 12, 15.96, 0.0101256
2, 13, 16.04, 0.0155428
2, 14, 16.12, 0.0220927
2, 15, 16.2, 0.0296459
2, 16, 16.28, 0.037646
2, 17, 16.36, 0.0444363
2, 18, 16.44, 0.0476005
2, 19, 16.52, 0.0478316
2, 20, 16.6, 0.0478092
2, 21, 16.68, 0.0478097
2, 22, 16.76, 0.047808
2, 23, 16.84, 0.0478065
2, 24, 16.92, 0.047805
2, 25, 17, 0.0478034
2, 26, 17.08, 0.0478019
2, 27, 17.16, 0.0478004
2, 28, 17.24, 0.0477988
2, 29, 17.32, 0.0477973
2, 30, 17.4, 0.0477958
2, 31, 17.48, 0.0477943
2, 32, 17.56, 0.0477927
2, 33, 17.64, 0.0477912
2, 34, 17.72, 0.0477897
2, 35, 17.8, 0.0477881
2, 36, 17.88, 0.0477866
2, 37, 17.96, 0.0477851
2, 38, 18.04, 0.0477836
2, 39, 18.12, 0.047782
2, 40, 18.2, 0.0477805
2, 41, 18.28, 0.047779
2, 42, 18.36, 0.0477775
2, 43, 18.44, 0.0477759
2, 44, 18.52, 0.0477744
2, 45, 18.6, 0.0477729
2, 46, 18.68, 0.0477714
2, 47, 18.76, 0.0477699
2, 48, 18.84, 0.0477683
2, 49, 18.92, 0.0477668
2, 50, 19, 0.0477653
3, 1, 19.08, 0.029145
3, 2, 19.16, 0.020961
3, 3, 19.24, 0.0145127
3, 4, 19.32, 0.00930883
3, 5, 19.4, 0.00526327
3, 6, 19.48, 0.00236372
3, 7, 19.56, 0.000609372
3, 8, 19.64, 5.62695e-07
3, 9, 19.72, 0.00053768
3, 10, 19.8, 0.00222112
3, 11, 19.88, 0.00505126
3, 12, 19.96, 0.00902845
3, 13, 20.04, 0.0141518
3, 14, 20.12, 0.0204086
3, 15, 20.2, 0.027714
3, 16, 20.28, 0.0356727
3, 17, 20.36, 0.0429826
3, 18, 20.44, 0.0472181
3, 19, 20.52, 0.0479122
3, 20, 20.6, 0.0478693
3, 21, 20.68, 0.0478752
3, 22, 20.76, 0.0478763
3, 23, 20.84, 0.0478779
3, 24, 20.92, 0.0478794
3, 25, 21, 0.0478809
3, 26, 21.08, 0.0478825
3, 27, 21.16, 0.047884
3, 28, 21.24, 0.0478855
3, 29, 21.32, 0.0478871
3, 30, 21.4, 0.0478886
3, 31, 21.48, 0.0478901
3, 32, 21.56, 0.0478917
3, 33, 21.64, 0.0478932
3, 34, 21.72, 0.0478947
3, 35, 21.8, 0.0478963
3, 36, 21.88, 0.0478978
3, 37, 21.96, 0.0478993
3, 38, 22.04, 0.0479009
3, 39, 22.12, 0.0479024
3, 40, 22.2, 0.0479039
3, 41, 22.28, 0.0479055
3, 42, 22.36, 0.047907
3, 43, 22.44, 0.0479086
3, 44, 22.52, 0.0479101
3, 45, 22.6, 0.0479116
3, 46, 22.68, 0.0479132
3, 47, 22.76, 0.0479147
3, 48, 22.84, 0.0479163
3, 49, 22.92, 0.0479178
3, 50, 23, 0.0479193
4, 1, 23.032, 0.0342929
4, 2, 23.064, 0.0253731
4, 3, 23.096, 0.0181727
4, 4, 23.128, 0.0122438
4, 5, 23.16, 0.00749348
4, 6, 23.192, 0.00390507
4, 7, 23.224, 0.00147608
4, 8, 23.256, 0.000205976
4, 9, 23.288, 9.43491e-05
4, 10, 23.32, 0.0011408
4, 11, 23.352, 0.00334495
4, 12, 23.384, 0.00670637
4, 13, 23.416, 0.0112246
4, 14, 23.448, 0.0168976
4, 15, 23.48, 0.0237119
4, 16, 23.512, 0.0315931
4, 17, 23.544, 0.0402313
4, 18, 23.576, 0.0486483
4, 19, 23.608, 0.0548099
4, 20, 23.64, 0.0571731
4, 21, 23.672, 0.0574191
4, 22, 23.704, 0.0574189
4, 23, 23.736, 0.0574171
4, 24, 23.768, 0.0574152
4, 25, 23.8, 0.0574134
4, 26, 23.832, 0.0574116
4, 27, 23.864, 0.0574097
4, 28, 23.896, 0.0574079
4, 29, 23.928, 0.057406
4, 30, 23.96, 0.0574042
4, 31, 23.992, 0.0574024
4, 32, 24.024, 0.0574005
4, 33, 24.056, 0.0573987
4, 34, 24.088, 0.0573969
4, 35, 24.12, 0.057395
4, 36, 24.152, 0.0573932
4, 37, 24.184, 0.0573914
4, 38, 24.216, 0.0573895
4, 39, 24.248, 0.0573877
4, 40, 24.28, 0.0573859
4, 41, 24.312, 0.0573841
4, 42, 24.344, 0.0573822
4, 43, 24.376, 0.0573804
4, 44, 24.408, 0.0573786
4, 45, 24.44, 0.0573767
4, 46, 24.472, 0.0573749
4, 47, 24.504, 0.0573731
4, 48, 24.536, 0.0573712
4, 49, 24.568, 0.0573694
4, 50, 24.6, 0.0573676
5, 1, 24.632, 0.036741
5, 2, 24.664, 0.0272859
5, 3, 24.696, 0.019791
5, 4, 24.728, 0.0136045
5, 5, 24.76, 0.00859189
5, 6, 24.792, 0.00472791
5, 7, 24.824, 0.00200939
5, 8, 24.856, 0.000436388
5, 9, 24.888, 9.29693e-06
5, 10, 24.92, 0.000728503
5, 11, 24.952, 0.0025944
5, 12, 24.984, 0.00560737
5, 13, 25.016, 0.00976777
5, 14, 25.048, 0.0150752
5, 15, 25.08, 0.0215229
5, 16, 25.112, 0.0290663
5, 17, 25.144, 0.0375032
5, 18, 25.176, 0.0461352
5, 19, 25.208, 0.053263
5, 20, 25.24, 0.0568424
5, 21, 25.272, 0.0574904
5, 22, 25.304, 0.0575099
5, 23, 25.336, 0.0575117
5, 24, 25.368, 0.0575136
5, 25, 25.4, 0.0575154
5, 26, 25.432, 0.0575173
5, 27, 25.464, 0.0575191
5, 28, 25.496, 0.0575209
5, 29, 25.528, 0.0575228
5, 30, 25.56, 0.0575246
5, 31, 25.592, 0.0575265
5, 32, 25.624, 0.0575283
5, 33, 25.656, 0.0575302
5, 34, 25.688, 0.057532
5, 35, 25.72, 0.0575338
5, 36, 25.752, 0.0575357
5, 37, 25.784, 0.0575375
5, 38, 25.816, 0.0575394
5, 39, 25.848, 0.0575412
5, 40, 25.88, 0.0575431
5, 41, 25.912, 0.0575449
5, 42, 25.944, 0.0575468
5, 43, 25.976, 0.0575486
5, 44, 26.008, 0.0575505
5, 45, 26.04, 0.0575523
5, 46, 26.072, 0.0575542
5, 47, 26.104, 0.057556
5, 48, 26.136, 0.0575579
5, 49, 26.168, 0.0575597
5, 50, 26.2, 0.0575616
6, 1, 26.2128, 0.0425185
