stage, timestep, time, DeformationGradient11, DeformationGradient12, DeformationGradient13, DeformationGradient21, DeformationGradient22, DeformationGradient23, DeformationGradient31, DeformationGradient32, DeformationGradient33
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1
0, 1, 0.1, 1.00008, -8.47033e-22, -8.47033e-22, 1.05879e-21, 0.999974, 2.43522e-21, 2.64698e-22, -2.32934e-21, 0.999974
0, 2, 0.2, 1.00016, -1.69407e-21, -1.69407e-21, 4.23516e-22, 0.999947, 2.22346e-21, 8.47033e-22, -3.07049e-21, 0.999947
0, 3, 0.3, 1.00024, 0, 1.69407e-21, 3.38813e-21, 0.999921, -3.91753e-21, 0, -3.38813e-21, 0.999921
0, 4, 0.4, 1.00032, -3.38813e-21, -3.38813e-21, 0, 0.999894, -3.81165e-21, -6.98802e-21, -4.87044e-21, 0.999894
0, 5, 0.5, 1.0004, -6.77626e-21, -1.10114e-20, 0, 0.999868, -1.03762e-20, 9.95264e-21, 4.44692e-21, 0.999868
0, 6, 0.6, 1.00048, 0, 3.38813e-21, -8.68209e-21, 0.999842, -2.11758e-22, -5.92923e-21, 2.11758e-22, 0.999842
0, 7, 0.7, 1.00056, 0, 1.69407e-21, 5.0822e-21, 0.999815, 1.01644e-20, -7.19978e-21, 2.11758e-21, 0.999815
0, 8, 0.8, 1.00064, -6.77626e-21, -6.77626e-21, 5.0822e-21, 0.999789, 3.38813e-21, 8.89385e-21, 8.47033e-21, 0.999789
0, 9, 0.9, 1.00072, -3.38813e-21, -2.03288e-20, 8.47033e-21, 0.999763, -7.19978e-21, 1.2282e-20, 2.11758e-21, 0.999763
0, 10, 1, 1.0008, -1.35525e-20, -2.20229e-20, 0, 0.999736, 5.92923e-21, 2.03288e-20, 1.05879e-20, 0.999736
0, 11, 1.1, 1.00088, 1.35525e-20, -3.38813e-21, -2.11758e-21, 0.99971, 7.19978e-21, -1.27055e-21, -9.31736e-21, 0.99971
0, 12, 1.2, 1.00096, 0, -8.47033e-21, 1.86347e-20, 0.999683, -5.92923e-21, 0, -1.3129e-20, 0.999683
0, 13, 1.3, 1.00104, 0, -3.38813e-21, 1.01644e-20, 0.999656, -2.03288e-20, 3.38813e-21, -1.27055e-20, 0.999656
0, 14, 1.4, 1.00112, -1.35525e-20, -2.5411e-20, 0, 0.999629, 1.52466e-20, 1.69407e-20, -1.52466e-20, 0.999629
0, 15, 1.5, 1.0012, 0, 1.69407e-20, -4.23516e-21, 0.9996, 5.92923e-21, 0, 1.27055e-20, 0.9996
