stage, timestep, time, Stress11, Stress12, Stress13, Stress21, Stress22, Stress23, Stress31, Stress32, Stress33
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 0.1, 3.60051, 3.5847e-18, -9.8522e-18, 3.5847e-18, -3.67608e-08, 1.79139e-18, -9.8522e-18, 1.79139e-18, -3.67608e-08
0, 2, 0.2, 7.20099, -2.14943e-17, -1.43275e-17, -2.14943e-17, -3.67472e-08, -1.43305e-17, -1.43275e-17, -1.43305e-17, -3.67472e-08
0, 3, 0.3, 10.8014, 5.73378e-17, 2.86598e-17, 5.73378e-17, -3.67577e-08, -1.23595e-16, 2.86598e-17, -1.23595e-16, -3.67577e-08
0, 4, 0.4, 14.4018, -5.7317e-17, -1.75584e-16, -5.7317e-17, -3.67426e-08, -1.46875e-16, -1.75584e-16, -1.46875e-16, -3.67426e-08
0, 5, 0.5, 18.0022, -1.14629e-16, -1.78212e-17, -1.14629e-16, -3.67513e-08, -1.003e-16, -1.78212e-17, -1.003e-16, -3.67513e-08
0, 6, 0.6, 21.6025, -1.46955e-16, -4.30479e-17, -1.46955e-16, -3.67244e-08, 1.64981e-22, -4.30479e-17, 1.64981e-22, -3.67244e-08
0, 7, 0.7, 25.2026, 8.60292e-17, -9.3218e-17, 8.60292e-17, -3.67207e-08, 2.07746e-16, -9.3218e-17, 2.07746e-16, -3.67207e-08
0, 8, 0.8, 28.8022, -2.85814e-17, 3.59478e-17, -2.85814e-17, -3.66154e-08, 2.00568e-16, 3.59478e-17, 2.00568e-16, -3.66154e-08
0, 9, 0.9, 32.4, 8.6095e-17, -1.35899e-16, 8.6095e-17, -3.62878e-08, -8.59808e-17, -1.35899e-16, -8.59808e-17, -3.62878e-08
0, 10, 1, 35.9924, -2.29229e-16, -2.82489e-17, -2.29229e-16, -3.52944e-08, 2.79345e-16, -2.82489e-17, 2.79345e-16, -3.52944e-08
0, 11, 1.1, 39.5704, 1.9348e-16, -7.87555e-17, 1.9348e-16, -3.26109e-08, -3.60072e-17, -7.87555e-17, -3.60072e-17, -3.26109e-08
0, 12, 1.2, 43.1132, 3.15354e-16, -1.43057e-16, 3.15354e-16, -2.61231e-08, -3.2243e-16, -1.43057e-16, -3.2243e-16, -2.61231e-08
0, 13, 1.3, 46.5783, 1.70827e-16, 7.67685e-19, 1.70827e-16, -1.17212e-08, -5.5762e-16, 7.67685e-19, -5.5762e-16, -1.17212e-08
0, 14, 1.4, 49.8859, -2.31669e-16, -1.42129e-16, -2.31669e-16, 1.74185e-08, 4.94001e-18, -1.42129e-16, 4.94001e-18, 1.74185e-08
0, 15, 1.5, 52.9051, -7.11824e-17, 2.89001e-16, -7.11824e-17, 7.0664e-08, 3.19972e-16, 2.89001e-16, 3.19972e-16, 7.0664e-08
0, 16, 1.6, 55.4599, -2.27032e-16, -2.46086e-16, -2.27032e-16, 1.56111e-07, -1.45462e-16, -2.46086e-16, -1.45462e-16, 1.56111e-07
0, 17, 1.7, 57.3847, 5.28878e-17, -1.67376e-16, 5.28878e-17, 2.70957e-07, 1.70271e-17, -1.67376e-16, 1.70271e-17, 2.70957e-07
0, 18, 1.8, 58.6283, 6.51333e-17, 2.13844e-16, 6.51333e-17, 3.93118e-07, -6.71234e-16, 2.13844e-16, -6.71234e-16, 3.93118e-07
